"status_id","text","is_misinfo"
"x1344756661567823872","I’m so excited that with this vaccine I can see the day where we get back to the work of thanking and celebrating (in person and face to face) all the amazing work our healthcare heroes do every day. I’m very ready to throw our “Pandemic is over” party! #417fightscovid https://t.co/T7O6ypn8Ax",0
"x1344719068520095744","I’m getting my COVID-19 vaccine, baby! I’m so fucking excited!",0
"x1344768691091558400","Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.",0
"x1344698975098707968","Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/k4HnEcR8Z4",0
"x1344760293159702528","Just got the first dose of the vaccine y’all! I’m too excited about this 😎",0
"x1344779109394751488","I got my shot today and am excited to give the covid-19 vaccine to others starting Monday. #MGH #stopthespread https://t.co/yAxMXFwIxL",0
"x1344776637402017792","#lockdown Do it. Properly. NOW. Give the vaccine a chance.",0
"x1344714399781593088","I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex. https://t.co/dF0YBCqPXx",0
"x1344766649191292928","Moderna mRNA #Covidvaccine published results now released. Really impressive data in terms of effectiveness (94%). Very excited to see this in the arms of those in remote, LTC communities, others soon! 
#CalltoArms #BeGreatVaccinate

https://t.co/KR2jwU6qdg https://t.co/r0A8xl3Coy",0
"x1344753195696975872","Listen to all these MDs who affirm the need for informed consent around taking an untested vaccine https://t.co/TGdVVKNuZk",1
"x1344702824181993472","Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine? https://t.co/74nHq5QWRo",0
"x1344752471063863296","A customer didn’t have a mask on and talked about how tired she is of staying inside but also that her father is turning 100 and getting the vaccine soon, so she’s excited to visit him..... yet made me enter her pin for her... WHILE COUGHING ????? Make it make sense!!!!! https://t.co/nGHTglErZa",0
"x1344690018300911616","35,000 Soldiers Died from the Experimental Anthrax Vaccine – More Than Those Who Died in Combat in Afghanistan and Iraq Combined https://t.co/20NtnR651r",1
"x1344786755606740992","NUMBER 37 Part 2 Knowing the facts. Further Health Minister and Pfizer INSIST ALL old, sick MUST be injected with LIVE EXPERIMENTAL drug and NOT advising most old WILL die or be crippled as allergic reaction, obvious REMOVAL, main public stated AIM of Gates.",1
"x1344729746735837184","These Refs are pitiful. #ArmedForcesBowl",0
"x1344795424855642112","if you kissed someone on Amelia St, don’t worry about what’s in the vaccine.",0
"x1344745066158551040","2020 is ending with me hardly reaching out to anyone so I’m really grateful to family and friends who keep checking up ❤️🧡",1
"x1344703890315382784","Maybe this will get me an untested vaccine sooner....I just completed the COVID-19 prevention clinical studies volunteer registry questionnaire. https://t.co/OkZNHCRmeM",1
"x1344689375079247872","If you're still excited about the new year,
you don't need to worry about what's in the vaccine.",0
"x1344703158757548032","Very excited to schedule the COVID vaccine and extremely proud how promptly MS3/MS4 students were prioritized @UpstateNews @OnondagaCMS",0
"x1344765300106031104","Our veterans are heroes who bravely served us and deserve quality care. That's why I'm excited to share that residents and staff members of our @ILVetsAffairs veterans' homes have received their first dose of the COVID-19 vaccine.",0
"x1344737563551150080","Happy New Year. Bring it on ‘21. Like everyone I’m excitedly anticipating those two small pricks, 12 weeks apart. Then I’m having the vaccine. #HAPPYNEWYEAR2021 #GoodBye2020 #HAPPYNEWYEAR",0
"x1344700566396497920","I just scheduled my Covid vaccine I'm so excited you guys",0
"x1344763485788405760","guess who got their vaccine!!!! excited to be keeping myself, my family, and my community safe! 🥰 https://t.co/QPaLfkaz9r",0
"x1344731663490666496","The Pros of 2020
1. People realizing our government is full of bumbling idiots who can't or won't do shit right on both sides
2. Chiefs won the Super Biwl
3. People not taking an untested vaccine
4. God is always in time and is good",1
"x1344736773302267904","Former FEMA operative Celeste Solum on what she says is in the Gates vaccine – I say that the ‘bioweapon’ is not in fact the ‘virus’ which does not exist, but the vaccine justified by the ‘virus’ and people will have to decide what they they think – https://t.co/oUV7sZLong",1
"x1344745483068170240","I have never been more excited to receive a vaccine! #ThisIsOurShot #Science #scienceforthewin #VaccinesWork #COVID19 #WearAMask #tweetiatrician https://t.co/9zWg6LfLPq",0
"x1344720957555027968","I’m volunteering at the covid vaccine clinics next week and I am so excited!!!",0
"x1344777176705454080","I think the only thing my dad is more excited about for the new year than the vaccine is Cobra Kai season 3",0
"x1344789441764737024","so excited for The Vaccine that i got a tetanus vaccine today just to get in the spirit 🎉😂",0
"x1344717229745713152","So excited to have received my vaccine today! Thankful for the absolute organization &amp; efficiency w/ which @CleClinicNews delivered it. Proud to be on the front lines &amp; doing everything I can to help end this pandemic #covidvaccine #COVID19vaccine #getvaccinated #tweetiatrician https://t.co/aRnzfBL95B",0
"x1344718769604726784","Not sure if I am more excited for the vaccine or for this. https://t.co/6bYdxYJteJ",0
"x1344728257250246656","I’m scheduled to get the COVID-19 Vaccine Tuesday the 5th!! So excited! Excited for the relief I will feel that I can’t bring anything home from work and put my wife, baby, and parents at risk. #CovidVaccine",0
