"","id","text"
"1",1,"New set of pics &amp; info r out 
on #CoronaVirus quarantine camp set up by ð®ð³ Amry in Manesar near Delhi for the 400+ Indians &amp; 7 Maldivians ð

5 showing symptoms of Cough &amp; Cold moved to Army Base Hospital.
Samples sent for tests to AIIMS.
1 Result -Ve, awaiting for remaining 4. https://t.co/PQvduYbubv"
"2",2,"The team at Times of Sweden is keeping LIVE updates of the #Coronavirus outbreak in Italy.

I am on the ground. 

Police and army (if necessary) will stop people with force from leaving lockdown areas.

50 000 in lockdown!

READ and SHARE for the latestð

https://t.co/GudqJfOoZl"
"3",3,"@ToonArmyMIA @ScottPresler @realDonaldTrump Over coronavirus fears. Get lost commie."
"4",4,"@ViacomCBS @paramounttv @EpochTimes @UN @BushFdn @France24_en @wiseplans @nypost @amNewYork @LadyThatcher13 @VanityFair @NYPDPBMN @NYPDnews @NYPDShea @usairforce @USMC @USArmy @USNavy @Newsday @_WTCOfficial @NYCCouncil Nassau County Isn't not A World Health Organizations to A Committees all and Are Attached Offices 
 Laura Curran@NassauExecutiveÂ·3hWATCH: Nassau County Executive Curran and Health Commissioner Eisenstein provide updates and guidance on #coronavirus. and in nassau"
"5",5,"Reality... CHINA.... Coronavirus...
Think about the name... Corona ðð¤
#TRUMP2020 #TheGreatAwakeningWorldwide #WWG1WGAWORLDWIDE #DigitalSoldiersWorldwide #DarkToLight #Qarmy https://t.co/6Rff1wWa9f"
"6",6,"â¼ï¸â¼ï¸â¼ï¸Check THIS out!!! 
Federal Agents arrested Dr. Charles Lieberman of #Harvard University Department of Chemistry and Chemical Biology for lying ð¤¥ to the Department of Defense...#China #WuhanUniversity  #ChineseArmy #CoronaVirus https://t.co/nMFbMq7CC8"
"7",7,"@Shayarm @45HarisonHarold @robin_ked @RedDragonFly19 @liltilgerlil @Tractor444 @XHawk80 @PhilZantos @GregoryJHall1 @TheeSib @LizzyHock1963 @luvmypittys @bbl58 @QArmyInfo @QuincyA17 @EYEDROPMEDIA @macv58 @TresaBridges @WWG1WGA @lazyishhound @donnie_maga @DRottiemom @Jingoman111 @mbees39 @AmericAnon57 @ThoseCofers @Alphaa16147110 @TrumpCanuck @santori_lisa @VonYugen @kimbetech @sandykennedy55 @jakkedup1 @kiwisquaw @nscrowba @DebbieS00267284 @BPPope @SpankyTheDog1 @Fairbanks357 @PunkyPaneteddo @jonathan_wcm @LadyRebel144 @DemonteAnna @realDonaldTrump @POTUS @SpeakerPelosi @SenSchumer @johnbugaj1 @repmarine Nothing To see here...ðð½ Pelosi's district?? ð¤ Hmmm
San Francisco declares state of emergency over coronavirus.
https://t.co/tJBlzEcnIM"
"8",8,"#Coronavirus Lockdowns Torment an Army of Poor Migrant Workers in China: Science - The New York Times https://t.co/QkYPORObC3

RSS: https://t.co/antmkmwzhJ"
"9",9,"#Israel may quarantine 200 South Korean visitors in army base - https://t.co/Bnu0yiuPiD - #Coronavirus - https://t.co/RmeWAoc9Ae"
"10",10,"Todayâs @StarsAndStripes fresh off the press in Tokyo, with @kimgamelâs front-page story on coronavirus restrictions at a @USArmy base in South Korea. https://t.co/lWa2JzBeT4 https://t.co/5Ks1DKI32V"
"11",11,"They army has the coronavirus lmaoooo those hoo-ah homos deserved it"
"12",12,"South Korea confirms new coronavirus cases in the Army https://t.co/2iay2xRI5g #DefenceBlog https://t.co/kqBvJVHoUr"
"13",13,"USFK dependent tests positive for coronavirus. Military on high alert in South Korea. 

Widow of retired soldier who visited stores on a southeastern base tested positive for coronavirus. First confirmed case for the Army in South Korea.
https://t.co/rrXLLfl5vr"
"14",14,"Following an increase in reported #COVID19 cases in South Korea, the U.S. Army raised the risk level for U.S. military community there to ""moderate"", and restricted access to the Army garrison at Daegu for the time being https://t.co/HtPkiyNbQ8"
"15",15,"@ViacomCBS @paramounttv @EpochTimes @UN @BushFdn @France24_en @wiseplans @nypost @amNewYork @LadyThatcher13 @VanityFair @NYPDPBMN @NYPDnews @NYPDShea @usairforce @USMC @USArmy @USNavy @Newsday @_WTCOfficial Newsday23 hrs Â· School officials tried to reassure parents that students who fell ill after a winter break trip to Italy are likely sick with the flu or a gastric illness and not the coronavirus that has become a global concern."
"16",16,"@ViacomCBS @paramounttv @EpochTimes @UN @BushFdn @France24_en @wiseplans @nypost @amNewYork @LadyThatcher13 @VanityFair @NYPDPBMN @NYPDnews @NYPDShea @usairforce @USMC @USArmy @USNavy @Newsday @_WTCOfficial @NYCCouncil @LIRR @SuffolkPolice De Blasio presses CDC to work with New York on combating coronavirus outbreak  Robert Pozarycki26 mins ago
1. the audiences of peopleÂ  mayor bill de Blasio are all a plan and mistakes , and in jobs and off of hires to even be in theÂ Predicament
so your gatherings off of people"
"17",17,".@MLRossiHawkins: Things in Italy are not getting better, with 288 infected and 7 dead of #coronavirus. 

Army is monitoring the ""red zone"" under quarantine. All public functions are cancelled, public spaces shut down.

#WarRoomPandemic

ðhttps://t.co/mJBryufLnQ https://t.co/L9qO1i8kAK"
"18",18,"@IPOT1776 @EricHolder Holder:  Now we have the corona virus.... 

Is that an admission from the deep state that they released it ?

Asking for a friend.... WWG1WGA  #QArmy  #SheepNoMore https://t.co/RYAL3RGzC7"
"19",19,"@ToddAbshire @NakersLos @Mikala007007 @Lauramo92212760 @us_poll @robin_ked @Suziegarrabrant @CdnVsFascism @Canadiancovfefe @melchizedekwife @o_marianne @IamAllOutOfGum @PeterBo04372810 @daxalvarado19 @LisaJanelle68 @DuriavigRobert @BigdNv @LivnWLupus @Rebashoenfelt1 @mainelakehopper @Kintu3 @GregoryJHall1 @amfibian001 @john85235517 @LynnStueber @carolva97910854 @PestJack @KateHun49524279 @Swamp_Fox17 @Lynnielee5 @YHublet @CraigGWelch @angt_trost @ThndersRage @RagesFury @HEAVENSARMY4 @Janinepolitic @AndrewArgh @MagickalG @francesme @eaglesdontfloc2 @BehneMatthew @rbhumble @liltilgerlil @JeanEngel777 @Ginger_Snap_11 @JoyGarn31949049 @RedDragonFly19 @jkjballz7 @MittRomney They've been artificially inflating the Chinese GDP with all the insane building of cities that no one lives or works in. Soon the housing bubble this caused will financially crush them along with the havoc that Corona virus is wreaking in their economy"
"20",20,"@HotepJesus Im pretty sure the army of junkie zombies &amp; the discarded needles, piss &amp; mounds of human feces they deposit on SF streets on a daily basis is a far bigger health threat than coronavirus."
"21",21,"Chinese regime tightens information controls over the coronavirus outbreak, as people have increasingly turned to the internet to vent their frustrations. The regime hired 1,600 trolls, aka the 50-cent army, to regulate internet speech!    by @CathyHe_ET 

https://t.co/4DbLKPxPEY"
"22",22,"Shit just keeps getting weirder and weirder, The lady from the cruise ship that was quarantine for coronavirus who initially said âwe made it upâ was just on Fox News doing a second interview wearing an Eagles jersey #44 Fly-Renegade-Fly #Qarmy https://t.co/yDhYn3aijT"
"23",23,"My CIA contact films a the communist propaganda bureau filming the army pretending to clean the streets so the west continues to buy chinese consumer goods.

#coronavirus #CoronavirusOutbreak #WuhanCoronavirusOutbreak #COVID19 #coronavirusaustralia #CoronaVirusCanada https://t.co/J0vkJj0piK"
"24",24,"The U.S. Army says an American soldier in South Korea has been diagnosed with COVID-19. This is the first time a U.S. service member has tested positive for coronavirus. https://t.co/xb5oAFXash https://t.co/iqaQiZyPTE"
"25",25,"@towntro @ArmyBratt68 How insane is it that the Democratic party want the Coronavirus to spread so they can blame President Trump?"
"26",26,"VIDEO: #China

Video from #Wuhan, China shows Wuhan Checkpoint now manned by Chinese Army. The Chinese government has now put Quarantined zones under Military Control
#Coronavirus #Coronaoutbreak #WuhanCoronavirusOutbreak #WuhanPneumonia https://t.co/n54G1U4xOX"
"27",27,"Hal Turner Radio Show - PROOF: The ""Novel Coronavirus"" Infecting the World is a MILITARY BIO-WEAPON Developed by China's Army https://t.co/bCIQjOS5Y8"
"28",28,"Under wise guidance citizen roadblocks are torn down as the army moves in and readies a field hospital for quarantining citizens

#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada https://t.co/1CDenN1U3o"
"29",29,"@AstiJesse @ChrisMurphyCT Maybe the Army can blow up the coronavirus with their missiles. 

Â¬.Â¬"
"30",30,"Army arrives in Shanghai to shakedown locals.
#coronavirus #CoronavirusOutbreak #Wuhan #coronaviruschina #coronavirusaustralia #CoronaVirusCanada https://t.co/dY6Dxpn8UW"
"31",31,"#WuhanCoronavirus Update:

PRC Army moving into #Wuhan to deliver supplies...

â¶ï¸ This is not a drill.

â¶ï¸ Pray for the people of #China.

https://t.co/1rhgIZdMPh

#WuhanFlu #coronavirus #2019nC0V #outbreak #DemonOutbreak"
"32",32,"...the city was locked down. Did the army know something beforehand that we didn't know? #COVID2019 #Coronavirus #CoronavirusOutbreak #coronaviruschina https://t.co/pFYwVoLWPI"
"33",33,"In 2019 Trump secured 200K donations per year for 11 years of an HIV vaccine. Itâs made by Gilead.

Doctors just cured a Seattle Coronavirus man with an experimental drug they developed with the Army for Ebola in 2014.

It didnât work for Ebola. But oddly it works for Coronavirus https://t.co/imH91gR8jp"
"34",34,"@PhilZantos @EYEDROPMEDIA @Michaelcraddo16 @robin_ked @GregoryJHall1 @TresaBridges @WWG1WGA @lazyishhound @Shayarm @donnie_maga @bbl58 @DRottiemom @Jingoman111 @mbees39 @liltilgerlil @XHawk80 @AmericAnon57 @ThoseCofers @RedDragonFly19 @Alphaa16147110 @TrumpCanuck @Tractor444 @santori_lisa @VonYugen @kimbetech @sandykennedy55 @jakkedup1 @kiwisquaw @nscrowba @QArmyInfo @DebbieS00267284 @BPPope @SpankyTheDog1 @Fairbanks357 @PunkyPaneteddo @jonathan_wcm @LynnStueber @LadyRebel144 @DemonteAnna @realDonaldTrump @POTUS @SpeakerPelosi @SenSchumer @johnbugaj1 @repmarine @OldcorpsGrunt @GoboMontaco @seanhannity @charliekirk11 @AAnon55 &gt;&gt;&gt; DID YOU KNOW BACK OF LYSOL CAN LISTS &gt;&gt;&gt;&gt; #CORONAVIRUS  ð¤ https://t.co/FiPvr5hHcX"
"35",35,"Wuhan Institute Of Virology And Chinese Army Submit Patent For Gilead Anti-Ebola Drug To Fight Coronavirus | Zero Hedge https://t.co/oQJEUbhD83"
"36",36,"Wuhan Institute Of Virology And Chinese Army Submit Patent For Gilead Anti-Ebola Drug To Fight Coronavirus | #FreeZeroHedge 

https://t.co/PqPAGnjAzl"
"37",37,"Public health officials provide info on the Novel Coronavirus: https://t.co/7OaCvdb6CC 

@USArmy @CDC https://t.co/39FUI2Ohdt"
