keyword,before,after
alliance,15.647439002990723,25.669841766357422
allied,9.0,20.828296661376953
allies,19.57958221435547,32.69519805908203
ally,20.814626693725586,32.30887222290039
ammunition,13.494773864746094,32.50054168701172
armament,9.0,9.0
armed,21.586658477783203,35.798126220703125
armies,12.471624374389648,14.429267883300781
armies,12.471624374389648,14.429267883300781
armor,9.0,45.438114166259766
army,26.180294036865234,33.15763473510742
army,26.180294036865234,33.15763473510742
arsenal,9.0,31.509286880493164
artillery,9.0,17.33607292175293
attack,29.5098876953125,32.53910446166992
attacks,27.665699005126953,30.66975975036621
battlefront,9.0,14.017148971557617
battleplan,9.0,9.0
battle,22.805397033691406,33.23048782348633
battlefield,9.0,20.54311180114746
battleground,12.913091659545898,41.4572639465332
battles,14.294548034667969,23.952390670776367
beat,25.51898193359375,39.657745361328125
besieged,9.0,18.102628707885742
blitzkrieg,9.0,23.245981216430664
bloodshed,9.0,9.0
bomb,19.637834548950195,34.80819320678711
bombard,9.0,16.775691986083984
campaign,29.426603317260742,38.45499038696289
captured,13.101426124572754,31.219371795654297
casualties,13.732354164123535,32.12224578857422
ceasefire,9.0,37.068939208984375
combat,34.65506362915039,37.47540283203125
combatant,9.0,9.0
combatants,9.0,17.67705535888672
combative,9.0,28.494129180908203
commander,26.256298065185547,43.93952941894531
conflict,14.586352348327637,37.751895904541016
conquer,12.118963241577148,38.68724822998047
conquering,29.337812423706055,15.148991584777832
conquest,9.0,14.41751480102539
crossfire,9.0,19.09185218811035
crusade,9.0,20.1844539642334
defeat,41.03800964355469,39.38496780395508
defend,23.817516326904297,35.18912124633789
defenses,15.007043838500977,20.83820152282715
destruction,18.507070541381836,35.385684967041016
disarmament,9.0,9.0
enemies,18.216489791870117,32.97643280029297
enemy,27.485313415527344,42.621273040771484
escalation,13.21852970123291,23.091825485229492
fight,28.791542053222656,37.57658004760742
fighter,12.841434478759766,28.647457122802734
fighting,26.574785232543945,35.8321647644043
fire,25.918516159057617,32.855648040771484
flank,9.0,9.0
foe,9.0,25.719451904296875
fortify,9.0,15.320892333984375
fought,22.44194793701172,43.57688903808594
frontline,23.105039596557617,34.097408294677734
front,30.91490364074707,43.67040252685547
frontline,23.105039596557617,34.097408294677734
grenade,9.0,15.335522651672363
guard,28.66739273071289,42.98428726196289
guerrilla,9.0,14.800689697265625
gun,23.313396453857422,34.915771484375
gunfight,9.0,9.0
holocaust,14.41209602355957,28.5011043548584
homefront,9.0,9.0
homeland,39.183650970458984,44.452205657958984
hostilities,9.0,20.132966995239258
hostility,17.813020706176758,27.5564022064209
insurgency,9.0,14.826800346374512
invade,20.215463638305664,20.303552627563477
invaded,11.732221603393555,26.616634368896484
invader,9.0,19.771686553955078
invaders,9.0,24.7364501953125
invasion,21.875551223754883,36.93375015258789
liberation,9.0,26.851688385009766
military,24.104732513427734,31.81693458557129
minefield,9.0,18.317455291748047
peace,24.269439697265625,36.56047821044922
peacetime,17.89531898498535,16.745901107788086
raider,9.0,14.992571830749512
rebellion,9.0,24.774568557739258
resist,18.979236602783203,27.306856155395508
resistance,20.27864646911621,23.340700149536133
retreat,13.369304656982422,32.17137908935547
riot,18.124189376831055,29.01630210876465
salvo,16.972665786743164,14.738247871398926
shoot,19.821779251098633,32.06455612182617
siege,15.1023530960083,22.46487045288086
soldier,18.303831100463867,31.22896385192871
soldier,18.303831100463867,31.22896385192871
soldiers,23.242923736572266,32.78169631958008
strategy,24.243545532226562,30.66912269592285
struggle,19.91800880432129,22.654333114624023
tactic,15.138387680053711,31.034591674804688
tank,37.049720764160156,27.339113235473633
target,18.493061065673828,26.20952033996582
threat,28.16563606262207,42.87664031982422
treaty,12.10777473449707,19.940719604492188
trench,9.0,20.826093673706055
trenches,9.0,32.11757278442383
troop,9.0,19.80489158630371
troops,31.56026268005371,37.63318634033203
troops,31.56026268005371,37.63318634033203
truce,9.0,15.78217887878418
unitedfront,9.0,9.0
uprising,11.480765342712402,21.622661590576172
vanquish,9.0,25.739696502685547
victory,19.219213485717773,34.56583023071289
violence,25.339099884033203,37.724754333496094
warzone,9.0,22.117937088012695
war,31.32595443725586,38.464210510253906
war,31.32595443725586,38.464210510253906
warfare,20.40195655822754,31.518465042114258
warrior,9.0,29.38015365600586
warrior,9.0,29.38015365600586
wars,30.603321075439453,38.362831115722656
wartime,17.687519073486328,39.93827438354492
warzone,9.0,22.117937088012695
weapon,9.0,9.0
win,25.649028778076172,31.171123504638672
won,9.0,9.0
kill,33.19866943359375,39.14076614379883
killer,21.9935302734375,34.63340759277344
death,34.11262130737305,45.40757369995117
die,32.12668228149414,44.05669021606445
casualty,19.143056869506836,33.152156829833984
casualties,13.732354164123535,32.12224578857422
