keyword,before,after
alliance,-0.007688188925385475,-0.030405964702367783
allied,9.0,-0.0466054305434227
allies,-0.06043168157339096,-0.04590918868780136
ally,-0.08157017827033997,-0.1439952254295349
ammunition,-0.010198377072811127,-0.08654424548149109
armament,9.0,9.0
armed,-0.08737663179636002,0.00651705265045166
armies,-0.11108079552650452,0.07810656726360321
armies,-0.11108079552650452,0.07810656726360321
armor,-0.04702115058898926,-0.11645546555519104
army,-0.07184730470180511,-0.021837733685970306
army,-0.07184730470180511,-0.021837733685970306
arsenal,-0.0473514124751091,-0.05738163739442825
artillery,9.0,-0.042223699390888214
attack,-0.16660712659358978,-0.06302831321954727
attacks,-0.10126014053821564,-0.020017152652144432
battlefront,9.0,0.04126571863889694
battleplan,9.0,9.0
battle,-0.08540397137403488,-0.20967400074005127
battlefield,9.0,-0.01893630623817444
battleground,0.03143782168626785,-0.0833779126405716
battles,-0.038664013147354126,-0.0801602229475975
beat,-0.23044446110725403,-0.14200547337532043
besieged,9.0,0.010501882992684841
blitzkrieg,9.0,0.015430555678904057
bloodshed,9.0,9.0
bomb,-0.14826813340187073,-0.023368585854768753
bombard,0.050208158791065216,-0.049377888441085815
campaign,-0.1032043918967247,-0.09890951216220856
captured,-0.13873004913330078,-0.03008175455033779
casualties,-0.01228966936469078,-0.12254597991704941
ceasefire,9.0,-0.05058316886425018
combat,-0.20965272188186646,-0.2233717441558838
combatant,9.0,9.0
combatants,9.0,-0.02475937455892563
combative,9.0,-0.00999656692147255
commander,-0.08446323871612549,-0.08820357918739319
conflict,0.034138359129428864,-0.0077903009951114655
conquer,0.00022803060710430145,-0.1324322372674942
conquering,-0.08729930222034454,-0.009441055357456207
conquest,9.0,9.0
crossfire,9.0,0.04714984446763992
crusade,9.0,0.027324065566062927
defeat,-0.10467034578323364,-0.25265365839004517
defend,-0.08373399078845978,-0.05073197931051254
defenses,0.07658237218856812,-0.004068046808242798
destruction,0.016579503193497658,0.022474009543657303
disarmament,9.0,9.0
enemies,-0.07173419743776321,-0.011145362630486488
enemy,-0.105117566883564,-0.02095385082066059
escalation,-0.02596832625567913,0.06203034147620201
fight,-0.2202683538198471,-0.3108268976211548
fighter,-0.1732385754585266,0.020798154175281525
fighting,-0.14248064160346985,-0.17952685058116913
fire,-0.11948776990175247,0.010928448289632797
flank,9.0,9.0
foe,9.0,0.058720193803310394
fortify,9.0,-0.01165226474404335
fought,0.017663568258285522,-0.04985244572162628
frontline,0.012497439980506897,0.06288093328475952
front,-0.108554407954216,0.03156349062919617
frontline,0.012497439980506897,0.06288093328475952
grenade,9.0,-0.07210603356361389
guard,-0.006075359880924225,-0.0422576367855072
guerrilla,9.0,-0.015371093526482582
gun,-0.05170070007443428,-0.006646474823355675
gunfight,9.0,9.0
holocaust,-0.008500367403030396,0.15628761053085327
homefront,9.0,9.0
homeland,-0.08677948266267776,0.010408058762550354
hostilities,9.0,0.049978259950876236
hostility,-0.03064693510532379,-0.014894012361764908
insurgency,9.0,-0.06747177243232727
invade,0.1144600510597229,0.035107556730508804
invaded,-0.12254630029201508,-0.0777042955160141
invader,9.0,0.028071066364645958
invaders,9.0,0.14955618977546692
invasion,-0.12833069264888763,-0.030323341488838196
liberation,9.0,-0.03152263164520264
military,0.04165547713637352,0.024662716314196587
minefield,9.0,0.039488937705755234
peace,-0.05872298777103424,0.03906243294477463
peacetime,-0.08831745386123657,-0.08838996291160583
raider,9.0,-0.03060922399163246
rebellion,9.0,-0.027511578053236008
resist,-0.0730486512184143,-0.030615679919719696
resistance,-0.051306113600730896,-0.017472997307777405
retreat,0.029654495418071747,-0.15233875811100006
riot,-0.13039882481098175,-0.027689766138792038
salvo,-0.0860084816813469,-0.0516643226146698
shoot,-0.1087832823395729,-0.086340993642807
siege,-0.005511581897735596,-0.023284725844860077
soldier,-0.06693200767040253,0.07878172397613525
soldier,-0.06693200767040253,0.07878172397613525
soldiers,-0.006459351629018784,0.09657374024391174
strategy,0.05244410037994385,0.021125435829162598
struggle,0.05557011440396309,0.15446582436561584
tactic,-0.07453061640262604,-0.06223063915967941
tank,-0.09031082689762115,0.028817065060138702
target,-0.023054610937833786,-0.035470400005578995
threat,-0.019612856209278107,-0.15499012172222137
treaty,-0.01918935962021351,-0.048461832106113434
trench,9.0,-0.06117779016494751
trenches,0.024435551837086678,-0.014062320813536644
troop,0.0009991899132728577,0.007396571338176727
troops,-0.051240548491477966,-0.02699054591357708
troops,-0.051240548491477966,-0.02699054591357708
truce,9.0,-0.10928481072187424
unitedfront,9.0,9.0
uprising,-0.06303513050079346,0.04387136176228523
vanquish,0.009581536054611206,-0.23332670331001282
victory,-0.08642543852329254,-0.08185151219367981
violence,0.018228791654109955,0.17221519351005554
warzone,-0.0713382437825203,0.07337997108697891
war,-0.09421879053115845,-0.11689863353967667
war,-0.09421879053115845,-0.11689863353967667
warfare,-0.1547451913356781,0.034242186695337296
warrior,9.0,-0.0016011744737625122
warrior,9.0,-0.0016011744737625122
wars,-0.11741061508655548,-0.007226555608212948
wartime,0.025530237704515457,-0.09534592181444168
warzone,-0.0713382437825203,0.07337997108697891
weapon,-0.17316079139709473,-0.02275213599205017
win,-0.11258682608604431,-0.03386645019054413
won,9.0,9.0
kill,-0.17547385394573212,-0.215032160282135
killer,-0.020221006125211716,-0.09012650698423386
death,0.023662149906158447,-0.010714471340179443
die,-0.10733525454998016,-0.12630319595336914
casualty,-0.03590862825512886,-0.08361193537712097
casualties,-0.01228966936469078,-0.12254597991704941
