keyword,before,after
alliance,-0.10222239792346954,-0.027745652943849564
allied,9.0,-0.022136002779006958
allies,-0.15853272378444672,0.03506125882267952
ally,0.13287949562072754,-0.06363709270954132
ammunition,-0.02246851474046707,-0.03252216428518295
armament,9.0,9.0
armed,-0.04587423801422119,-0.017685584723949432
armies,-0.07521536946296692,0.2105904370546341
armies,-0.07521536946296692,0.2105904370546341
armor,9.0,-0.1665325164794922
army,-0.17587870359420776,0.08451921492815018
army,-0.17587870359420776,0.08451921492815018
arsenal,9.0,0.0026133060455322266
artillery,9.0,0.0010438673198223114
attack,-0.13573689758777618,0.017415348440408707
attacks,-0.02953040599822998,0.04323108494281769
battlefront,9.0,0.14569604396820068
battleplan,9.0,9.0
battle,-0.08507905900478363,-0.22772535681724548
battlefield,9.0,-0.05435990169644356
battleground,-0.09420260041952133,-0.007567163556814194
battles,0.12102120369672775,0.008833369240164757
beat,-0.13577735424041748,-0.24258795380592346
besieged,9.0,0.008897699415683746
blitzkrieg,9.0,-0.03291552513837814
bloodshed,9.0,9.0
bomb,-0.20901447534561157,0.026488032191991806
bombard,9.0,-0.11996850371360779
campaign,-0.10447138547897339,-0.028535760939121246
captured,-0.11565043777227402,-0.026324547827243805
casualties,0.09145484119653702,-0.16407988965511322
ceasefire,9.0,-0.05285978317260742
combat,-0.2046373337507248,-0.13280518352985382
combatant,9.0,9.0
combatants,9.0,0.06393229961395264
combative,9.0,-0.11034299433231354
commander,-0.06804230809211731,-0.11278387904167175
conflict,0.014333818107843399,0.038310401141643524
conquer,0.056232135742902756,-0.09936264902353287
conquering,-0.12886229157447815,0.0022381991147994995
conquest,9.0,-2.730637788772583e-06
crossfire,9.0,0.07785740494728088
crusade,9.0,0.1501147449016571
defeat,-0.28387948870658875,-0.26849424839019775
defend,-0.06196466088294983,-0.06818383187055588
defenses,0.029247276484966278,0.03805243968963623
destruction,0.08984711021184921,-0.0134488046169281
disarmament,9.0,9.0
enemies,-0.012571319937705994,0.02935032732784748
enemy,0.018526555970311165,-0.02594008296728134
escalation,-0.10973058640956879,0.09360776096582413
fight,-0.33653393387794495,-0.32432878017425537
fighter,-0.16274842619895935,-0.06414779275655746
fighting,-0.21533441543579102,-0.19967979192733765
fire,-0.06016883626580238,0.05371248722076416
flank,9.0,9.0
foe,9.0,0.06307220458984375
fortify,9.0,0.009074054658412933
fought,-0.07243836671113968,-0.06396575272083282
frontline,-0.0034030862152576447,-0.002975260838866234
front,-0.05620906874537468,0.018124734982848167
frontline,-0.0034030862152576447,-0.002975260838866234
grenade,9.0,-0.10224952548742294
guard,-0.013361204415559769,-0.10703037679195404
guerrilla,9.0,-0.003959041088819504
gun,-0.001388784497976303,0.03266173601150513
gunfight,9.0,9.0
holocaust,0.06723238527774811,0.18841424584388733
homefront,9.0,9.0
homeland,-0.10545732080936432,-0.0246327705681324
hostilities,9.0,0.09994994103908539
hostility,-0.05281175300478935,0.052424848079681396
insurgency,9.0,-0.004848010838031769
invade,0.04367564991116524,-0.01162315160036087
invaded,-0.013237754814326763,-0.12542687356472015
invader,9.0,0.05031583830714226
invaders,9.0,0.2691859006881714
invasion,-0.1256350874900818,-0.06782126426696777
liberation,9.0,-0.08619338274002075
military,0.0556621327996254,0.12827256321907043
minefield,9.0,0.12213661521673203
peace,-0.10902009904384613,-0.046275921165943146
peacetime,-0.09188086539506912,0.0073320940136909485
raider,9.0,0.02136773243546486
rebellion,9.0,-0.03010152280330658
resist,-0.01036887988448143,0.11490316689014435
resistance,-0.12574851512908936,0.1383994221687317
retreat,-0.1686067283153534,-0.21855393052101135
riot,-0.2785382866859436,0.1121935322880745
salvo,-0.1054137647151947,-0.0074568577110767365
shoot,-0.11877833306789398,-0.0967671275138855
siege,0.023644335567951202,0.012099573388695717
soldier,-0.0908246636390686,0.0479239784181118
soldier,-0.0908246636390686,0.0479239784181118
soldiers,-0.058124251663684845,0.1159195750951767
strategy,0.18646086752414703,0.07087451219558716
struggle,-0.04183892533183098,0.17168641090393066
tactic,-0.018135400488972664,0.06600343436002731
tank,-0.08397450298070908,0.06493958085775375
target,-0.05118735507130623,0.07454907894134521
threat,-0.07147423923015594,-0.046535246074199677
treaty,-0.03563050180673599,0.04859533905982971
trench,9.0,-0.03813375532627106
trenches,9.0,0.10648243129253387
troop,9.0,0.09477280080318451
troops,-0.0721760243177414,0.04288065433502197
troops,-0.0721760243177414,0.04288065433502197
truce,9.0,-0.03159143030643463
unitedfront,9.0,9.0
uprising,-0.0688585415482521,0.07511723786592484
vanquish,9.0,-0.22737762331962585
victory,-0.028991524130105972,-0.024589139968156815
violence,0.03792261704802513,0.09482601284980774
warzone,9.0,0.05326300859451294
war,-0.05465412139892578,-0.05488668382167816
war,-0.05465412139892578,-0.05488668382167816
warfare,-0.011511283926665783,0.04215236008167267
warrior,9.0,-0.05027947947382927
warrior,9.0,-0.05027947947382927
wars,-0.06588433682918549,-0.019580019637942314
wartime,-0.04134904965758324,-0.04687311872839928
warzone,9.0,0.05326300859451294
weapon,9.0,9.0
win,-0.10353554785251617,-0.01406112965196371
won,9.0,9.0
kill,-0.18481974303722382,-0.19442829489707947
killer,0.11043599247932434,-0.19569513201713562
death,0.06267169117927551,-0.05110516399145126
die,-0.03377645090222359,-0.20777812600135803
casualty,-0.03356238454580307,-0.031413253396749496
casualties,0.09145484119653702,-0.16407988965511322
