"","X1","X2","before","after"
"1","covid19","5g",0.01889850259214,0.02744557479497
"2","covid19","antibiotics",0.0123532443576,0.02415678266215
"3","covid19","bleach",0.02518307775422,0.03261960546682
"4","covid19","chip",9,9
"5","covid19","chlorine",0.01155526694695,0.01372399732338
"6","covid19","electromagnetic",9,0.0021465836927
"7","covid19","flu",0.17292204718234,0.10596680155219
"8","covid19","gates",0.04260131669374,0.04194435531132
"9","covid19","hoax",0.09829392072766,0.07697632835059
"10","covid19","implant",9,9
"11","covid19","microchip",0.00770177939971,0.01514548277398
"12","covid19","microchipping",0.00134150503306,0.00472081116499
"13","covid19","overblown",0.0213840421437,0.01815921847439
"14","covid19","radiation",0.0060510879941,0.00907331532266
"15","covid19","unreported",0.01065291009185,0.00489160889973
"16","black","colloid",9,9
"17","black","depopulation",0.00145282862517,0.00205737711087
"18","black","garlic",0,0.00036687577615
"19","black","genocide",0,0.01009831876525
"20","black","immunity",0.00926592453428,0.00575230598314
"21","black","inoculated",0,0
"22","black","supplements",0,0.01333630953615
"23","black","vaccine",0.00162586466914,0.01326231886335
"24","black","vit",0,0
"25","black","vitamin",0,0.00384928740312
"26","black","water",0.00180402203545,0.01514975690481
"27","black","zinc",0,0.00018044649905
"28","melanin","colloid",9,9
"29","melanin","depopulation",9,9
"30","melanin","garlic",9,9
"31","melanin","genocide",9,9
"32","melanin","immunity",9,9
"33","melanin","inoculated",9,9
"34","melanin","supplements",9,9
"35","melanin","vaccine",9,9
"36","melanin","vit",9,9
"37","melanin","vitamin",9,9
"38","melanin","water",9,9
"39","melanin","zinc",9,9
"40","poc","colloid",9,9
"41","poc","depopulation",0,0
"42","poc","garlic",0,0
"43","poc","genocide",0,0.01810533546793
"44","poc","immunity",0,0.00089525550648
"45","poc","inoculated",0,0
"46","poc","supplements",0,0
"47","poc","vaccine",0,0.00102668782236
"48","poc","vit",0,0
"49","poc","vitamin",0,0
"50","poc","water",0.00478211694936,0
"51","poc","zinc",0,0
"52","mandatory","vaccine",0.00675808803534,0.03017307068925
"53","overcount","death",9,0.05505024530064
"54","dioxide","mask",0,0.00284217110527
"55","lab","china",0.05281387938294,0.05284459723515
