"pairs","week1","pairs","week2","pairs","week3","pairs","week4","pairs","week5","pairs","week6","pairs","week7","pairs","week8","pairs","week9","pairs","week10","pairs","week11","pairs","week12","pairs","week13","pairs","week14","pairs","week15","pairs","week16","pairs","week17","pairs","week18","pairs","week19","pairs","week20","pairs","week21","pairs","week22","pairs","week23","pairs","week24","pairs","week25","pairs","week26","pairs","week27","pairs","week28","pairs","week29","pairs","week30","pairs","week31","pairs","week32","pairs","week33","pairs","week34","pairs","week35","pairs","week36","pairs","week37","pairs","week38","pairs","week39","pairs","week40","pairs","week41","pairs","week42","pairs","week43","pairs","week44","pairs","week45","pairs","week46","pairs","week47","pairs","week48","pairs","week49","pairs","week50","pairs","week51","pairs","week52"
"death-death",0.999999940395355,"death-death",0.999999940395355,"death-death",1,"death-death",1,"death-death",0.999999970197678,"death-death",1.00000005960464,"die-die",0.999999940395355,"death-death",1,"die-die",1,"death-death",0.999999970197678,"death-death",1.00000005960464,"death-death",0.999999940395355,"death-death",1,"death-death",0.999999940395355,"death-death",1,"death-death",0.999999970197678,"death-death",1,"death-death",0.999999970197678,"death-death",1,"death-death",1.00000005960464,"death-death",1,"death-death",1,"death-death",1,"death-death",1,"death-death",1,"death-death",0.999999970197678,"death-death",0.999999940395355,"death-death",0.999999970197678,"death-death",0.999999940395355,"death-death",0.999999970197678,"death-death",1.00000005960464,"death-death",1.00000005960464,"death-death",0.999999970197678,"death-death",1,"death-death",0.999999940395355,"death-death",1.00000005960464,"die-die",0.999999940395355,"death-death",1.00000011920929,"death-death",1,"death-death",0.999999970197678,"death-death",1.00000005960464,"death-death",1,"die-die",0.999999940395355,"die-die",1.00000005960464,"death-death",1,"death-death",1.00000005960464,"death-death",0.999999940395355,"die-die",1.00000005960464,"die-die",1.00000005960464,"death-death",0.999999970197678,"death-death",0.999999940395355,"death-death",0.999999970197678
"death-kill",0.678492680191994,"death-die",0.715656027197838,"death-die",0.726865336298943,"death-die",0.767181366682053,"death-kill",0.699148297309875,"death-die",0.789487302303314,"die-death",0.742314144968987,"death-fight",0.470221204683185,"die-death",0.741458550095558,"death-die",0.766385406255722,"death-die",0.778585165739059,"death-die",0.780733078718185,"death-die",0.763563722372055,"death-die",0.795038521289825,"death-die",0.759587287902832,"death-die",0.762521833181381,"death-die",0.764441221952438,"death-die",0.79406926035881,"death-riot",0.523564482107759,"death-die",0.745559200644493,"death-die",0.732625067234039,"death-die",0.723295331001282,"death-die",0.73292849957943,"death-die",0.727483883500099,"death-die",0.710335999727249,"death-die",0.753827512264252,"death-die",0.745481446385384,"death-die",0.758775174617767,"death-die",0.772027522325516,"death-die",0.775373011827469,"death-die",0.788522779941559,"death-die",0.811086267232895,"death-die",0.780936628580093,"death-die",0.763960480690002,"death-die",0.764440625905991,"death-die",0.760306894779205,"die-death",0.784407794475555,"death-die",0.705731943249702,"death-die",0.732159018516541,"death-die",0.752116918563843,"death-die",0.754727482795715,"death-die",0.733816772699356,"die-death",0.718739241361618,"die-death",0.757939338684082,"death-die",0.729506477713585,"death-die",0.76300460100174,"death-die",0.778101861476898,"die-death",0.774241983890533,"die-death",0.77560755610466,"death-die",0.765311419963837,"death-die",0.783424317836761,"death-die",0.752611517906189
"death-die",0.757074296474457,"death-kill",0.658911362290382,"death-kill",0.657872080802917,"death-kill",0.64491268992424,"death-die",0.769326895475388,"death-kill",0.696116641163826,"die-kill",0.846999883651733,"death-die",0.768048763275146,"die-fight",0.540409032255411,"death-fight",0.462077286094427,"death-fight",0.400849714875221,"death-fight",0.403088554739952,"death-fight",0.419787436723709,"death-fight",0.416520155966282,"death-fight",0.402459815144539,"death-fight",0.436750389635563,"death-fight",0.464934166520834,"death-fight",0.431867331266403,"death-die",0.769822269678116,"death-kill",0.631638422608376,"death-kill",0.643733829259872,"death-campaign",0.388128705322742,"death-kill",0.621919833123684,"death-kill",0.618029437959194,"death-kill",0.621210873126984,"death-kill",0.673663556575775,"death-fight",0.4618662558496,"death-kill",0.64258548617363,"death-kill",0.663775205612183,"death-kill",0.683824777603149,"death-kill",0.680714830756187,"death-kill",0.690076127648354,"death-threat",0.532972626388073,"death-kill",0.685460194945335,"death-fight",0.45010070130229,"death-kill",0.681470707058907,"die-campaign",0.424259431660175,"death-campaign",0.445832535624504,"death-campaign",0.372249618172646,"death-campaign",0.421184256672859,"death-win",0.522967267781496,"death-fight",0.47176918014884,"die-fight",0.528106741607189,"die-fight",0.507027946878225,"death-fight",0.447632379829884,"death-kill",0.685076147317886,"death-kill",0.692918464541435,"die-kill",0.825251430273056,"die-kill",0.808815360069275,"death-fight",0.482481213286519,"death-attack",0.553464848548174,"death-kill",0.69065123796463
"death-threat",0.516347870230675,"death-fight",0.45124552026391,"death-fight",0.452239912003279,"death-fight",0.42150604724884,"death-fire",0.474824281409383,"death-fight",0.448150955140591,"die-fight",0.475506205111742,"death-kill",0.659370496869087,"die-kill",0.786798506975174,"death-kill",0.704525232315063,"death-kill",0.666791245341301,"death-kill",0.694180890917778,"death-kill",0.657319977879524,"death-kill",0.663906037807465,"death-kill",0.654487416148186,"death-kill",0.662174314260483,"death-kill",0.661399930715561,"death-kill",0.704653024673462,"death-kill",0.666343435645103,"death-riot",0.461002133786678,"death-fight",0.410919047892094,"death-kill",0.617505922913551,"death-soldier",0.470978442579508,"death-fight",0.43001502007246,"death-fight",0.417420357465744,"death-fight",0.445366527885199,"death-kill",0.64352448284626,"death-fight",0.448339775204659,"death-fight",0.384592525660992,"death-fight",0.435800544917583,"death-fight",0.439408116042614,"death-beat",0.511319407261908,"death-kill",0.712851166725159,"death-threat",0.491750381886959,"death-kill",0.726895898580551,"death-threat",0.538430090993643,"die-kill",0.821946233510971,"death-kill",0.669342532753944,"death-fight",0.415267169475555,"death-fight",0.367566853761673,"death-campaign",0.455897979438305,"death-fire",0.465162988752127,"die-kill",0.852788239717484,"die-kill",0.82205730676651,"death-kill",0.662278309464455,"death-fight",0.463349517434835,"death-fight",0.478105176240206,"die-fight",0.539753999561071,"die-fight",0.549647130072117,"death-kill",0.686877280473709,"death-riot",0.557429287582636,"death-fight",0.44874395057559
"death-fire",0.424513533711433,"death-threat",0.482573455199599,"death-weapon",0.463181290775537,"death-militari",0.445573195815086,"death-fight",0.495815296657383,"death-combat",0.497672899160534,"die-threat",0.525615664198995,"death-threat",0.542651433497667,"die-threat",0.481062076985836,"death-war",0.504583508707583,"death-fire",0.48504806868732,"death-threat",0.548238825052977,"death-attack",0.565549001097679,"death-war",0.55623522028327,"death-front",0.470325386151671,"death-attack",0.580696374177933,"death-fire",0.469157945364714,"death-war",0.537125445902348,"death-fight",0.408292032778263,"death-fight",0.440852660685778,"death-campaign",0.406798288226128,"death-fight",0.474947057664394,"death-captur",0.527960842475295,"death-campaign",0.418110400438309,"death-attack",0.502289747586474,"death-campaign",0.424180224537849,"death-defeat",0.429192967712879,"death-defeat",0.491776062175632,"death-strategi",0.393745668232441,"death-attack",0.55632221698761,"death-fire",0.433565452694893,"death-strategi",0.475724264979362,"death-fight",0.442217860370874,"death-fight",0.453380733728409,"death-war",0.587399110198021,"death-fight",0.393612161278725,"die-attack",0.525298772379756,"death-arm",0.5352883040905,"death-kill",0.674348771572113,"death-kill",0.669819042086601,"death-fight",0.460118174552917,"death-kill",0.649251788854599,"die-campaign",0.416637577116489,"die-struggl",0.597236715257168,"death-win",0.408754393458366,"death-struggl",0.494426503311843,"death-win",0.510554281063378,"die-frontlin",0.554625157266855,"die-struggl",0.583982273936272,"death-beat",0.438984602689743,"death-kill",0.717021152377129,"death-fire",0.500948774046265
"kill-kill",0.999999970197678,"die-die",1,"die-die",1,"die-die",1,"kill-kill",1,"die-die",0.999999970197678,"death-death",1,"fight-fight",1,"death-death",0.999999940395355,"die-die",1,"die-die",1,"die-die",0.999999940395355,"die-die",0.999999970197678,"die-die",0.999999970197678,"die-die",0.999999970197678,"die-die",0.999999940395355,"die-die",1,"die-die",1,"riot-riot",1.00000011920929,"die-die",1,"die-die",0.999999940395355,"die-die",0.999999970197678,"die-die",1.00000005960464,"die-die",0.999999970197678,"die-die",0.999999970197678,"die-die",1,"die-die",1,"die-die",1,"die-die",1.00000005960464,"die-die",1,"die-die",0.999999970197678,"die-die",1,"die-die",1.00000005960464,"die-die",1,"die-die",1.00000005960464,"die-die",0.999999910593033,"death-death",0.999999940395355,"die-die",0.999999970197678,"die-die",1,"die-die",1.00000005960464,"die-die",1,"die-die",1.00000005960464,"death-death",0.999999970197678,"death-death",1,"die-die",1.00000005960464,"die-die",0.999999970197678,"die-die",1.00000005960464,"death-death",0.999999940395355,"death-death",1.00000005960464,"die-die",0.999999940395355,"die-die",1,"die-die",1
"kill-die",0.832303524017334,"die-kill",0.805230259895325,"die-kill",0.802753061056137,"die-kill",0.755180597305298,"kill-die",0.832239955663681,"die-kill",0.80893349647522,"death-kill",0.698852196335793,"fight-die",0.472512716427445,"death-fight",0.44907670468092,"die-fight",0.539217729121447,"die-fight",0.482806447893381,"die-fight",0.507584593724459,"die-fight",0.537245940417051,"die-fight",0.521333849057555,"die-fight",0.532715659588575,"die-fight",0.511887343600392,"die-fight",0.558807134628296,"die-fight",0.502179231727496,"riot-die",0.484695313498378,"die-kill",0.82852977514267,"die-kill",0.855470180511475,"die-campaign",0.41406324505806,"die-kill",0.832326173782349,"die-kill",0.839304238557816,"die-kill",0.824610888957977,"die-kill",0.865228325128555,"die-fight",0.50093876675237,"die-kill",0.786124497652054,"die-kill",0.847553640604019,"die-kill",0.865610122680664,"die-kill",0.851925164461136,"die-kill",0.826055765151978,"die-threat",0.518255595117807,"die-kill",0.852383852005005,"die-fight",0.506282190326601,"die-kill",0.851126283407211,"death-campaign",0.44542770460248,"die-campaign",0.452088788151741,"die-campaign",0.40529727190733,"die-campaign",0.478931868448853,"die-win",0.498426837380975,"die-fight",0.55182446166873,"death-fight",0.411605171859264,"death-fight",0.421410799026489,"die-fight",0.512603161856532,"die-kill",0.852334916591644,"die-kill",0.832088679075241,"death-kill",0.71047942340374,"death-kill",0.690973892807961,"die-fight",0.587118893861771,"die-attack",0.528231158852577,"die-kill",0.842070609331131
"kill-threat",0.56970988214016,"die-fight",0.495809608139098,"die-fight",0.55626143142581,"die-fight",0.504416183102876,"kill-fire",0.533120512962341,"die-fight",0.519910303875804,"death-fight",0.455392941832542,"fight-kill",0.548871293663979,"death-kill",0.598568864166737,"die-kill",0.821878641843796,"die-kill",0.840832233428955,"die-kill",0.812036037445068,"die-kill",0.846628189086914,"die-kill",0.820871770381927,"die-kill",0.852951228618622,"die-kill",0.855993837118149,"die-kill",0.852750837802887,"die-kill",0.87077322602272,"riot-kill",0.552358109503984,"die-riot",0.458615992218256,"die-fight",0.543675117194653,"die-kill",0.812078863382339,"die-soldier",0.523689340800047,"die-fight",0.530384657904506,"die-fight",0.540183022618294,"die-fight",0.554407205432653,"die-kill",0.85140073299408,"die-fight",0.511862836778164,"die-fight",0.478222742676735,"die-fight",0.577972263097763,"die-fight",0.530513925477862,"die-beat",0.639658316969872,"die-kill",0.856041133403778,"die-threat",0.556691564619541,"die-kill",0.861402809619904,"die-threat",0.556259103119373,"death-kill",0.716583266854286,"die-kill",0.823862016201019,"die-fight",0.51652198843658,"die-fight",0.541658386588097,"die-campaign",0.467934057116508,"die-fire",0.522190565243363,"death-kill",0.626754432916641,"death-kill",0.658400967717171,"die-kill",0.827525317668915,"die-fight",0.515538066625595,"die-fight",0.535638481378555,"death-fight",0.467004012316465,"death-fight",0.441019613295794,"die-kill",0.826677113771439,"die-riot",0.515550415031612,"die-fight",0.529401503503323
"kill-fire",0.46458125859499,"die-threat",0.485106688924134,"die-weapon",0.497943938011304,"die-militari",0.486849156208336,"kill-fight",0.579463012516499,"die-combat",0.467078063637018,"death-threat",0.51432578638196,"fight-threat",0.465676069259644,"death-threat",0.540669109672308,"die-war",0.546179082244635,"die-fire",0.551306001842022,"die-threat",0.581492327153683,"die-attack",0.559558983892202,"die-war",0.592768885195255,"die-front",0.541415948420763,"die-attack",0.615060932934284,"die-fire",0.523467741906643,"die-war",0.5750902146101,"riot-fight",0.43573435395956,"die-fight",0.565469838678837,"die-campaign",0.468036517500877,"die-fight",0.539476748555899,"die-captur",0.481777779757977,"die-campaign",0.469456015154719,"die-attack",0.53170932456851,"die-campaign",0.429852709174156,"die-defeat",0.532066196203232,"die-defeat",0.542655892670155,"die-strategi",0.313422575592995,"die-attack",0.589812867343426,"die-fire",0.500901794410311,"die-strategi",0.423527136445045,"die-fight",0.559161420911551,"die-fight",0.552247036248446,"die-war",0.538156032562256,"die-fight",0.52334194816649,"death-attack",0.537594135850668,"die-arm",0.472184505313635,"die-kill",0.825003057718277,"die-kill",0.848324030637741,"die-fight",0.55328631773591,"die-kill",0.866503894329071,"death-campaign",0.461510088294744,"death-struggl",0.500323426211253,"die-win",0.469774162396789,"die-struggl",0.521934073418379,"die-win",0.5277434065938,"death-frontlin",0.48464715667069,"death-struggl",0.473978044465184,"die-beat",0.578068576753139,"die-kill",0.847104907035828,"die-fire",0.513471334241331
"die-die",1,"kill-kill",0.999999970197678,"kill-kill",1,"kill-kill",0.999999970197678,"die-die",1,"kill-kill",0.999999970197678,"kill-kill",1,"die-die",1.00000005960464,"fight-fight",1,"fight-fight",1,"fight-fight",0.999999970197678,"fight-fight",1,"fight-fight",0.999999940395355,"fight-fight",0.999999970197678,"fight-fight",1,"fight-fight",0.999999970197678,"fight-fight",1,"fight-fight",1,"die-die",1,"kill-kill",1.00000005960464,"kill-kill",1,"campaign-campaign",1.00000005960464,"kill-kill",0.999999910593033,"kill-kill",1,"kill-kill",0.999999970197678,"kill-kill",1,"fight-fight",1.00000005960464,"kill-kill",1.00000005960464,"kill-kill",1,"kill-kill",0.999999970197678,"kill-kill",1,"kill-kill",0.999999970197678,"threat-threat",0.999999940395355,"kill-kill",0.999999970197678,"fight-fight",1,"kill-kill",1,"campaign-campaign",0.999999940395355,"campaign-campaign",0.999999970197678,"campaign-campaign",0.999999910593033,"campaign-campaign",1,"win-win",0.999999970197678,"fight-fight",1,"fight-fight",1,"fight-fight",1.00000005960464,"fight-fight",0.999999970197678,"kill-kill",1,"kill-kill",0.999999970197678,"kill-kill",1.00000005960464,"kill-kill",1,"fight-fight",0.999999910593033,"attack-attack",1.00000005960464,"kill-kill",1
