week,words,frequency,total_words
39,black,9499.0,19236420
39,conflict,607.0,19236420
39,bleach,472.0,19236420
39,armor,79.0,19236420
39,besieg,2.0,19236420
39,artilleri,11.0,19236420
39,overcount,8.0,19236420
39,conquest,,19236420
39,disarma,6.0,19236420
39,invas,117.0,19236420
39,arsenal,31.0,19236420
39,fire,5138.0,19236420
39,gunfight,1.0,19236420
39,frontlin,2640.0,19236420
39,liber,812.0,19236420
39,africa,787.0,19236420
39,militari,1575.0,19236420
39,escal,287.0,19236420
39,crusad,35.0,19236420
39,grenad,122.0,19236420
39,overblown,174.0,19236420
39,armament,3.0,19236420
39,battl,5424.0,19236420
39,won,,19236420
39,destruct,454.0,19236420
39,flank,6.0,19236420
39,enemi,1280.0,19236420
39,trench,27.0,19236420
39,crossfir,1.0,19236420
39,arm,1193.0,19236420
39,bomb,775.0,19236420
39,fortifi,14.0,19236420
39,salvo,2.0,19236420
39,truce,5.0,19236420
39,retreat,73.0,19236420
39,alli,924.0,19236420
39,fought,638.0,19236420
39,insurg,1.0,19236420
39,mandatori,1449.0,19236420
39,unitedfront,,19236420
39,win,13279.0,19236420
39,defend,2399.0,19236420
39,defens,1114.0,19236420
39,sieg,7.0,19236420
39,battleground,415.0,19236420
39,gun,1340.0,19236420
39,dioxid,47.0,19236420
39,peac,899.0,19236420
39,attack,12594.0,19236420
39,soldier,598.0,19236420
39,combat,3544.0,19236420
39,violenc,2735.0,19236420
39,battleplan,,19236420
39,foe,43.0,19236420
39,fight,17886.0,19236420
39,troop,178.0,19236420
39,front,3169.0,19236420
39,bloodsh,16.0,19236420
39,allianc,281.0,19236420
39,microchip,457.0,19236420
39,flu,15151.0,19236420
39,invad,136.0,19236420
39,hostil,79.0,19236420
39,gate,947.0,19236420
39,die,62506.0,19236420
39,unreport,77.0,19236420
39,defeat,1932.0,19236420
39,rebellion,13.0,19236420
39,command,1825.0,19236420
39,strategi,6030.0,19236420
39,homeland,90.0,19236420
39,casualti,134.0,19236420
39,armi,627.0,19236420
39,chip,,19236420
39,african,779.0,19236420
39,treati,27.0,19236420
39,warrior,167.0,19236420
39,beat,1847.0,19236420
39,electromagnet,10.0,19236420
39,lab,1912.0,19236420
39,shoot,691.0,19236420
39,riot,237.0,19236420
39,guard,1159.0,19236420
39,conquer,121.0,19236420
39,tactic,334.0,19236420
39,5g,299.0,19236420
39,resist,1251.0,19236420
39,guerrilla,2.0,19236420
39,peacetim,34.0,19236420
39,raider,1810.0,19236420
39,threat,10171.0,19236420
39,ammunit,7.0,19236420
39,weapon,428.0,19236420
39,warfar,92.0,19236420
39,tank,777.0,19236420
39,implant,39.0,19236420
39,minefield,5.0,19236420
39,warzon,10.0,19236420
39,battlefield,4.0,19236420
39,victori,1695.0,19236420
39,bombard,18.0,19236420
39,antibiot,137.0,19236420
39,killer,591.0,19236420
39,upris,78.0,19236420
39,wartim,43.0,19236420
39,holocaust,152.0,19236420
39,vanquish,24.0,19236420
39,battlefront,,19236420
39,target,2252.0,19236420
39,radiat,52.0,19236420
39,melanin,6.0,19236420
39,death,88551.0,19236420
39,homefront,3.0,19236420
39,hoax,2534.0,19236420
39,chlorin,10.0,19236420
39,kill,16998.0,19236420
39,blitzkrieg,4.0,19236420
39,poc,174.0,19236420
39,campaign,23488.0,19236420
39,struggl,4860.0,19236420
39,captur,1615.0,19236420
39,war,4338.0,19236420
39,ceasefir,44.0,19236420
39,fighter,114.0,19236420
